"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Epic: Working with Lists","0","Feature: Select List Tests","2","0","Story: Multi select list","0"
"0","Epic: Working with alerts","0","Feature: Alerts Tests","3","0","Story: Alert created by JavaScriptExecutor","0"
"0","Epic: Working with cookies","0","Feature: Cookies Tests","3","0","Story: Delete Cookie","0"
"0","Epic: Working with browser windows","0","Feature: Windows Tests","2","0","Story: Handles","0"
"0","Epic: Working with interactions of WebElements","0","Feature: Interactions Tests","1","0","Story: Type","0"
"0","Epic: Working with alerts","0","Feature: Alerts Tests","2","0","Story: Basic alert","0"
"0","Epic: Working with interactions of WebElements","0","Feature: Interactions Tests","1","0","Story: Click","0"
"0","Epic: Working with print","0","Feature: PrintOptions Tests","1","0","Story: Print background images","0"
"0","Epic: Working with print","0","Feature: PrintOptions Tests","1","0","Story: Print Range","0"
"0","Epic: Working with Virtual Authenticator","0","Feature: Virtual Authenticator Tests","7","0","Story: create virtual authenticator","0"
"0","Epic: Working with waits","0","Feature: Waits Tests","4","0","Story: Waits","0"
"0","Epic: Working with Lists","0","Feature: Select List Tests","1","0","Story: Single select list","0"
"0","Epic: Working with information about WebElements","0","Feature: Information Tests","3","0","Story: States","0"
"0","Epic: Working with page navigation","0","Feature: Navigation Tests","4","0","Story: navigate","0"
"0","Epic: Working with iframes","0","Feature: Iframe Tests","3","0","Story: Forms iframe","0"
"0","Epic: Working with keys","0","Feature: keys Tests","4","0","Story: Actions","0"
"0","Epic: Working with waits","0","Feature: Waits Tests","1","0","Story: No Waits","0"
"0","Epic: Working with alerts","0","Feature: Alerts Tests","2","0","Story: Alert in an iframe","0"
"0","Epic: Working with information about WebElements","0","Feature: Information Tests","5","0","Story: Values","0"
"0","Epic: Working with web drivers","1","Feature: ChromeDriver","2","0","Story: Navigate to a URL","0"
"0","Epic: Working with interactions of WebElements","0","Feature: Interactions Tests","1","0","Story: Clear","0"
"0","Epic: Working with file uploads","0","Feature: Upload File Tests","1","0","Story: Upload Files","0"
"0","Epic: Working with cookies","0","Feature: Cookies Tests","2","0","Story: Add Cookie","0"
"0","Epic: Working with print","0","Feature: PrintOptions Tests","2","0","Story: Print Scale","0"
"0","Epic: Working with alerts","0","Feature: Alerts Tests","2","0","Story: Alert with Prompt","0"
"0","Epic: Working with mouse","0","Feature: Mouse Tests","7","0","Story: Actions","0"
"0","Epic: Working with web tables","0","Feature: Tables Tests","2","0","Story: Find a table row","0"
"0","Epic: Working with alerts","0","Feature: Alerts Tests","1","0","Story: Alert  with Prompt","0"
"0","Epic: Working with browser windows","0","Feature: Windows Tests","2","0","Story: Switching tabs","0"
"0","Epic: Working with Virtual Authenticator","0","Feature: Virtual Authenticator Tests","1","0","Story: virtual authenticator options","0"
"0","Epic: Working with print","0","Feature: Print Tests","2","0","Story: Print","0"
"0","Epic: Working with print","0","Feature: PrintOptions Tests","1","0","Story: Orientation","0"
"0","Epic: Working with alerts","0","Feature: Alerts Tests","1","0","Story: Alert that redirects to another page","0"
"0","Epic: Working with alerts","0","Feature: Alerts Tests","1","0","Story: Slow alert","0"
"0","Epic: Working with print","0","Feature: PrintOptions Tests","1","0","Story: Paper Size","0"
"0","Epic: Working with print","0","Feature: PrintOptions Tests","1","0","Story: Print Margins","0"
"0","Epic: Working with cookies","0","Feature: Cookies Tests","2","0","Story: Get Cookie","0"
"0","Epic: Working with web tables","0","Feature: Tables Tests","1","0","Story: Get table cell value","0"
"0","Epic: Working with web tables","0","Feature: Tables Tests","2","0","Story: Find a table column","0"
"0","Epic: Working with page navigation","0","Feature: Navigation Tests","1","0","Story: driver","0"
"0","Epic: Working with browser windows","0","Feature: Windows Tests","1","0","Story: Switching windows","0"
"0","Epic: Working with browser windows","0","Feature: Windows Tests","1","0","Story: window size","0"
"0","Epic: Working with saving","0","Feature: Saving Tests","1","0","Story: Save page","0"
