"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1435","Should be able to select multiple options from a multi select list","","Fri Feb 20 16:55:11 UTC 2026","passed","Fri Feb 20 16:55:13 UTC 2026","","com.cdTester.tests.selenium.web.interactions.SelectListTest","com.cdTester.tests.selenium.web.interactions.SelectListTest","selectMultipleOption"
"","1535","Should be able to create an alert with a prompt using JavaScriptExecutor","","Fri Feb 20 16:54:27 UTC 2026","passed","Fri Feb 20 16:54:29 UTC 2026","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","testForJsPromptAlerts"
"","945","Should be able to create an alert with an option to cancel using JavaScriptExecutor","","Fri Feb 20 16:54:39 UTC 2026","passed","Fri Feb 20 16:54:39 UTC 2026","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","testForJsConfirmAlerts"
"","404","Should be able to delete all cookies","","Fri Feb 20 16:55:40 UTC 2026","passed","Fri Feb 20 16:55:40 UTC 2026","","com.cdTester.tests.selenium.web.interactions.CookiesTest","com.cdTester.tests.selenium.web.interactions.CookiesTest","deleteAllCookies"
"","391","Should be able to get window handle","","Fri Feb 20 16:55:37 UTC 2026","passed","Fri Feb 20 16:55:38 UTC 2026","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","windowsHandle"
"","1608","Should be able to enter text in an input field","","Fri Feb 20 16:54:24 UTC 2026","passed","Fri Feb 20 16:54:26 UTC 2026","","com.cdTester.tests.selenium.web.elements.InteractionTest","com.cdTester.tests.selenium.web.elements.InteractionTest","sendKeys"
"","2029","Should be able to accept an empty alert","","Fri Feb 20 16:54:51 UTC 2026","passed","Fri Feb 20 16:54:53 UTC 2026","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","alertEmptyInformationTest"
"","1577","should be able to click on a checkbox","","Fri Feb 20 16:54:23 UTC 2026","passed","Fri Feb 20 16:54:24 UTC 2026","","com.cdTester.tests.selenium.web.elements.InteractionTest","com.cdTester.tests.selenium.web.elements.InteractionTest","clickCheckbox"
"","645","Should be able set the background images to print","","Fri Feb 20 16:55:02 UTC 2026","passed","Fri Feb 20 16:55:02 UTC 2026","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestBackground"
"","648","Should be able set print page range","","Fri Feb 20 16:55:04 UTC 2026","passed","Fri Feb 20 16:55:04 UTC 2026","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestRange"
